,wl,power
826,1126,0.040136361156893806
827,1127,0.1225089212441003
828,1128,0.07740858882239529
829,1129,0.08273779270362831
830,1130,0.05520564370885043
831,1131,0.23153000636129029
832,1132,0.18360571539082107
833,1133,0.12036829500706395
834,1134,0.032794954558779066
835,1135,0.01215718416769186
836,1136,0.10131198114034884
837,1137,0.22647047211956522
838,1138,0.15991623710507247
839,1139,0.23477511684782607
840,1140,0.2012493131962069
841,1141,0.15189878737252874
842,1142,0.1764394615686207
843,1143,0.24456250910563218
844,1144,0.088754318884
845,1145,0.11434710436457143
846,1146,0.123327487576
847,1147,0.04626601858981818
848,1148,0.21188841542636364
849,1149,0.17071575936545455
850,1150,0.09497997321090909
851,1151,0.1588008922474576
852,1152,0.19330345759627116
853,1153,0.1858667413674576
854,1154,0.11120203077348315
855,1155,0.24438784900876404
856,1156,0.2191894119769663
857,1157,0.24544457843696635
858,1158,0.2431797246944847
859,1159,0.26282735394584955
860,1160,0.22344952585002784
861,1161,0.27107089123772854
862,1162,0.2731035354955124
863,1163,0.36572342013457065
864,1164,0.3137750950490859
865,1165,0.3036841171636364
866,1166,0.2933650003695868
867,1167,0.32115494365134994
868,1168,0.3290662334827397
869,1169,0.33253663895342467
870,1170,0.3612753627928768
871,1171,0.3537875580871234
872,1172,0.35970201302076305
873,1173,0.36179706259912814
874,1174,0.2676895627271935
875,1175,0.3602709144784742
876,1176,0.38050137163970266
877,1177,0.37773052165094595
878,1178,0.2884748215135135
879,1179,0.38839544895895445
880,1180,0.3544272824528418
881,1181,0.3666424063497587
882,1182,0.26076227892766757
883,1183,0.35451202252459885
884,1184,0.33971979318208556
885,1185,0.33008136629962564
886,1186,0.3870848321975936
887,1187,0.37013049844562335
888,1188,0.27235141388562334
889,1189,0.3382259722325729
890,1190,0.37657357055458884
891,1191,0.363877073860686
892,1192,0.38579764488316626
893,1193,0.37040853944770447
894,1194,0.3823950045324538
895,1195,0.3643133284314137
896,1196,0.351368588360733
897,1197,0.3885037489712042
898,1198,0.35307565967999993
899,1199,0.29653815523968746
900,1200,0.363830209015625
901,1201,0.35432235766375003
902,1202,0.3539196660662791
903,1203,0.35088206405697675
904,1204,0.2925360918918604
905,1205,0.3520742511767441
906,1206,0.3868783791071979
907,1207,0.34530647722287916
908,1208,0.3476542474131106
909,1209,0.3317509989784062
910,1210,0.3624813973714286
911,1211,0.33714113721224487
912,1212,0.3386672023683673
913,1213,0.3736914920142857
914,1214,0.34490610807167504
915,1215,0.3393882157096446
916,1216,0.3694267180832487
917,1217,0.3600485184998985
918,1218,0.3627300735101763
919,1219,0.3521979402129219
920,1220,0.3606953734245592
921,1221,0.36589626181765744
922,1222,0.3545913690187
923,1223,0.3485317390398
924,1224,0.3513826915464
925,1225,0.36226707269880004
926,1226,0.36669838877246264
927,1227,0.33910369962805964
928,1228,0.365298814349403
929,1229,0.36572267517977614
930,1230,0.3601221979165099
931,1231,0.36957344539423265
932,1232,0.3651673351509158
933,1233,0.35554380804141084
934,1234,0.36823691752941173
935,1235,0.36421864411764704
936,1236,0.3673744882941177
937,1237,0.3629100116029412
938,1238,0.3664024669030244
939,1239,0.36213933458107317
940,1240,0.3604612610727805
941,1241,0.361247685966439
942,1242,0.36145159619050843
943,1243,0.35737778489045996
944,1244,0.3553929393518644
945,1245,0.3561640999472155
946,1246,0.3582099732925302
947,1247,0.3564520074696868
948,1248,0.3571333156318072
949,1249,0.35775133112848195
950,1250,0.3555058609657895
951,1251,0.35178774234
952,1252,0.35029592543200955
953,1253,0.347540573151244
954,1254,0.3441159265544313
955,1255,0.34916841759075823
956,1256,0.3406354933539574
957,1257,0.33641944185563977
958,1258,0.3434432395598105
959,1259,0.32914702551061326
960,1260,0.3314291451919812
961,1261,0.31567723001896236
962,1262,0.3029352860791981
963,1263,0.3056462144316197
964,1264,0.28294251455877945
965,1265,0.30056301287816906
966,1266,0.2918354889758451
967,1267,0.2932181547373954
968,1268,0.2789427738189303
969,1269,0.18499715823088375
970,1270,0.28980810599106976
971,1271,0.3043808023533488
972,1272,0.3035378776186605
973,1273,0.30041406148960736
974,1274,0.29909525786161656
975,1275,0.3023974626622632
976,1276,0.3041126588469724
977,1277,0.30450464516733944
978,1278,0.3081408564506422
979,1279,0.3040539957930276
980,1280,0.3001087666279454
981,1281,0.29125657954246587
982,1282,0.26044798839452055
983,1283,0.2817469767581735
984,1284,0.2883293847517807
985,1285,0.28700031784276003
986,1286,0.28552709640950213
987,1287,0.2786149206821267
988,1288,0.27359220169343895
989,1289,0.26301887827675685
990,1290,0.2612783598824326
991,1291,0.26041779442540564
992,1292,0.24308436604378403
993,1293,0.2491536015625003
994,1294,0.2401196873437503
995,1295,0.23667772375000035
996,1296,0.22374100765625032
997,1297,0.20958724687500035
998,1298,0.2173600166284926
999,1299,0.2226731241325946
1000,1300,0.18906578394855908
1001,1301,0.19047141304257237
1002,1302,0.20221526316033073
1003,1303,0.175358841588965
1004,1304,0.14938248731405304
1005,1305,0.18704289102066102
1006,1306,0.1836991783816522
