Wavelength,Responsivity
470.4,0.25892
470.5,0.259025
470.6,0.25913
470.7,0.259235
470.8,0.25934
470.9,0.259445
471.0,0.25955
471.1,0.259655
471.2,0.25976
471.3,0.259865
471.4,0.25997
471.5,0.260075
471.6,0.26018
471.7,0.260285
471.8,0.26039
471.9,0.260495
472.0,0.2606
472.1,0.260705
472.2,0.26081
472.3,0.260915
472.4,0.26102
472.5,0.261125
472.6,0.26123
472.7,0.261335
472.8,0.26144
472.9,0.261545
473.0,0.26165
473.1,0.261755
473.2,0.26186
473.3,0.261965
473.4,0.26207
473.5,0.262175
473.6,0.26228
473.7,0.262385
473.8,0.26249
473.9,0.262595
474.0,0.2627
474.1,0.262805
474.2,0.26291
474.3,0.263015
474.4,0.26312
474.5,0.263225
474.6,0.26333
474.7,0.263435
474.8,0.26354
474.9,0.263645
